alpha,epsilon,tau_a,tau_b,IDWE
0.5710391484696978,0.7967464438733728,0.26509131087954746,0.8017219002454925,-0.15407045613412818
0.3236860944706806,0.44638692010073766,0.18997742423620262,0.5133240027692806,-0.14481149198240528
0.6886788459308153,0.14372395110401887,0.6857996256539677,0.15077042112439026,-0.16029832030121072
0.5904326190500536,0.9386141563067346,0.1007008892569129,0.992990403362096,-0.13606649649397862
0.5032881806428858,0.6120415073277927,0.10635967469774567,0.12075618253727419,-0.14036632188355735
0.22880506000448603,0.40046111074354035,0.1419990968922539,0.9763799669573134,-0.04591289078397698
0.9342370326583811,0.091515828098288,0.6565474083997787,0.4442157921404466,-0.14969070126169481
0.4334692968513705,0.46729613035473205,0.8739463660626887,0.7122767847290018,-0.15294444789504213
0.37229151238752123,0.014251696198706667,0.9479815801163677,0.6069593960609855,0.09614563161520495
0.6522677076959308,0.016950285967993986,0.30780444305993415,0.3169229194234106,-0.12977451062287604
0.33270470772669225,0.001,1.0,0.8045976267676217,0.04425413911288589
0.41481965063774,0.001,0.8110407310141559,0.227050588397743,-0.1546182118058077
0.14305593117249316,0.001,0.37466984893884114,0.6334207168549562,-0.15508255892136535
0.6910669497178858,0.38542580381909214,0.9597106685760948,0.6336775097265769,-0.14864270460409879
0.507328472354379,0.001,0.9712412495622356,0.4641274315223406,0.014501798675152444
0.851751311508699,0.001,1.0,0.6443285736819998,0.025527422236358843
0.297483608049926,0.015368178755854528,0.9276794410494865,0.838964887641256,0.08702116166722562
0.1520016167962973,0.048353657467104495,0.9437259514382524,0.7107563972079972,0.05569229033900236
0.7957356285216369,0.001,0.9336303957813832,1.0,0.1482006913790085
0.3546465947633624,1.0,0.6225383043166239,0.1,-0.1484964937802178
0.9441879352055212,0.001,0.9439258032027763,1.0,0.17103889139175577
0.95,0.001,0.955354381956469,1.0,0.19582186580546235
0.95,0.001,0.9654188029441166,1.0,0.20575549695748263
0.95,0.06594802854499486,0.9696445981395034,1.0,-0.12521647482231746
0.95,0.01367006458906236,0.9689588863579853,1.0,0.16826382496900982
0.15505875365742205,0.08040907263791224,0.9558584161805589,0.2765037542154273,0.029412133414039587
0.401113284917597,0.8120533141971533,1.0,0.8130037799607176,-0.1278938832458958
0.6629069380117613,0.250414181741473,0.1,0.9708163476101452,-0.12296349378704297
0.2704835785240853,0.001,0.9619413621222269,1.0,0.16022009465858233
0.8442133848762807,0.6731618443830537,0.6168300511262826,0.1,-0.1407433002419285
0.95,0.001,0.9642129227063171,0.9030459800350139,0.18009871563813784
0.904566024532292,0.36294720737477987,0.5249059681033384,1.0,-0.15171425110468073
0.95,1.0,1.0,0.1,-0.14851034788222717
0.95,0.6325795340206368,1.0,0.1,-0.13802693860990622
0.01,0.04410316594307149,0.9239792940627191,0.1,0.06201343274177995
0.7820042293959194,0.001,0.966302384126846,1.0,0.16716255631356647
0.01,0.001,0.9614019400473475,1.0,0.16435882361469079
0.01,1.0,0.35223992713670904,0.1,-0.14483186533438452
0.01,0.001,0.1,1.0,-0.07194987994828939
0.01,0.5780325098392142,0.41008604864149945,1.0,-0.06318114896874638
0.01,0.22695432284774575,0.3535468072341793,0.1,-0.1506651530001064
0.01,0.18895940709491982,0.9335448802089803,0.1,-0.054203849651558
0.01,0.8286279196460776,0.7429768991779578,1.0,-0.09074760025270368
0.01,0.001,0.9506238727291267,0.6597084815623817,0.06454351356206867
0.01,0.021338552426995422,0.9755958441876139,1.0,0.02814506802997674
0.7949139240580312,0.03493851032292355,0.9342295007050808,0.3172811619817126,-0.055015732359050995
0.95,0.001,0.9871499042457855,1.0,0.27983828684862544
0.95,0.001,1.0,1.0,0.33469375206411656
0.023519782077113215,0.6834878007810317,0.8197543186098901,0.986467884615737,-0.07566321892673122
0.06793778411332514,0.8552667866972155,0.12664219730383075,0.1130250714691571,-0.1540803427374109
